Date,SPX,DJX,VIX,VXD
2016/2/12,1864.780029,15973.83984,25.4,24.58
2016/2/11,1829.079956,15660.17969,28.139999,27.39
2016/2/10,1851.859985,15914.74023,26.290001,25.07
2016/2/9,1852.209961,16014.37988,26.540001,25.21
2016/2/8,1853.439941,16027.04981,26,24.66
2016/2/5,1880.050049,16204.96973,23.379999,22.13
2016/2/4,1915.449951,16416.58008,21.84,20.94
2016/2/3,1912.530029,16336.66016,21.65,20.99
2016/2/2,1903.030029,16153.54004,21.98,21.33
2016/2/1,1939.380005,16449.17969,19.98,19.86
2016/1/29,1940.23999,16466.30078,20.200001,19.57
2016/1/28,1893.359985,16069.63965,22.42,21.63
2016/1/27,1882.949951,15944.45996,23.110001,22.19
2016/1/26,1903.630005,16167.23047,22.5,21.85
2016/1/25,1877.079956,15885.21973,24.15,23.46
2016/1/22,1906.900024,16093.50977,22.34,21.93
2016/1/21,1868.98999,15882.67969,26.690001,25.46
2016/1/20,1859.329956,15766.74023,27.59,26.98
2016/1/19,1881.329956,16016.01953,26.049999,25.18
2016/1/15,1880.329956,15988.08008,27.02,25.57
2016/1/14,1921.839966,16379.04981,23.950001,22.5
2016/1/13,1890.280029,16151.41016,25.219999,23.47
2016/1/12,1938.680054,16516.2207,22.469999,21.52
2016/1/11,1923.670044,16398.57031,24.299999,22.72
2016/1/8,1922.030029,16346.4502,27.01,25.05
2016/1/7,1943.089966,16514.09961,24.99,22.87
2016/1/6,1990.26001,16906.50977,20.59,19.62
2016/1/5,2016.709961,17158.66016,19.34,18.89
2016/1/4,2012.660034,17148.93945,20.700001,19.12
2015/12/31,2043.939941,17425.0293,18.209999,17.01
2015/12/30,2063.360107,17603.86914,17.290001,16.56
2015/12/29,2078.360107,17720.98047,16.08,15.92
2015/12/28,2056.5,17528.26953,16.91,16.73
2015/12/24,2060.98999,17552.16992,15.74,15.65
2015/12/23,2064.290039,17602.60938,15.57,15.71
2015/12/22,2038.969971,17417.26953,16.6,16.44
2015/12/21,2021.150024,17251.61914,18.700001,18.13
2015/12/18,2005.550049,17128.55078,20.700001,19.3
2015/12/17,2041.890015,17495.83984,18.940001,17.53
2015/12/16,2073.070068,17749.08984,17.860001,16.69
2015/12/15,2043.410034,17524.91016,20.950001,19.26
2015/12/14,2021.939941,17368.5,22.73,20.89
2015/12/11,2012.369995,17265.21094,24.389999,22.57
2015/12/10,2052.22998,17574.75,19.34,18.21
2015/12/9,2047.619995,17492.30078,19.610001,18.5
2015/12/8,2063.590088,17568,17.6,17.31
2015/12/7,2077.070068,17730.50977,15.84,15.71
2015/12/4,2091.689941,17847.63086,14.81,14.96
2015/12/3,2049.620117,17477.66992,18.110001,17.6
2015/12/2,2079.51001,17729.67969,15.91,15.84
2015/12/1,2102.629883,17888.34961,14.67,15
2015/11/30,2080.409912,17719.91992,16.129999,15.83
